start_date,total_rentals,average_duration,member_rentals,casual_rentals,member_average_duration,casual_average_duration
2022/1/1,20895,32.19975273,14363,6532,24.28683655,49.59920392
2022/1/2,44234,38.44752415,31969,12265,36.32345814,43.98395026
2022/1/3,34126,41.4010051,29511,4615,40.09551862,49.74904659
2022/1/4,37879,48.58893582,32562,5317,45.91622085,64.95699016
2022/1/5,35080,34.27462514,30056,5024,32.68775009,43.76807988
2022/1/6,46004,28.99769368,39269,6735,27.77013208,36.15509775
2022/1/7,17838,41.61211926,15441,2397,40.20910131,50.65008344
2022/1/8,25129,45.82714593,20997,4132,43.68006699,56.73765328
2022/1/9,22088,36.010265,18486,3602,35.19157651,40.21189617
2022/1/10,35717,31.27463299,31657,4060,30.5440287,36.971367
2022/1/11,27704,28.51776398,24888,2816,27.95637523,33.47935606
2022/1/12,41636,27.62272873,36503,5133,25.70910884,41.23131372
2022/1/13,51798,16.71692022,44280,7518,15.54104938,23.64263989
2022/1/14,46837,17.8932685,39851,6986,16.43119955,26.23350749
2022/1/15,23717,17.92452671,20188,3529,16.00026749,28.93244545
2022/1/16,21588,18.10362084,18231,3357,15.45153402,32.50641942
2022/1/17,29887,13.85311116,25707,4180,12.58083142,21.67763158
2022/1/18,44045,14.36127975,38814,5231,13.62071589,19.85626075
2022/1/19,55371,13.84128425,47871,7500,12.73132203,20.92595111
2022/1/20,34901,14.2791749,30526,4375,12.89612734,23.92921143
2022/1/21,35006,12.94145527,30967,4039,12.03698399,19.87603367
2022/1/22,33018,16.03064692,27515,5503,14.0488055,25.93985402
2022/1/23,33817,15.14502962,27910,5907,12.91745969,25.6700807
2022/1/24,42591,11.8882166,37801,4790,11.20242498,17.30024356
2022/1/25,51982,12.39358528,45584,6398,11.64852763,17.70191727
2022/1/26,43279,12.17956322,38461,4818,11.55351222,17.17718625
2022/1/27,45058,12.18569141,39786,5272,11.43166608,17.87606538
2022/1/28,35740,12.77472253,31694,4046,11.81627069,20.28267425
2022/1/29,2927,30.83557681,2417,510,26.65393739,50.65326797
2022/1/30,9688,25.68295314,8571,1117,23.00954964,46.19659803
2022/1/31,22838,16.71653896,20668,2170,15.92246629,24.27962366
2022/2/1,29993,16.05975894,26976,3017,14.76605192,27.62722351
2022/2/2,42955,15.09468048,37967,4988,14.1447169,22.32548784
2022/2/3,27292,12.80650679,24021,3271,11.87799148,19.62517579
2022/2/4,21072,14.12284469,18747,2325,12.76865721,25.04196416
2022/2/5,31980,12.56689024,26974,5006,10.6529306,22.87994407
2022/2/6,30313,14.61150881,25463,4850,12.71385016,24.57441237
2022/2/7,31611,11.58688642,28512,3099,11.10495172,16.02087232
2022/2/8,53493,12.44831224,47055,6438,11.56695073,18.89013669
2022/2/9,57558,13.53131711,50359,7199,12.18309405,22.962511
2022/2/10,63584,14.37122468,54124,9460,12.81778324,23.25901163
2022/2/11,66310,15.32373423,54010,12300,12.87365796,26.08215854
2022/2/12,70299,20.74584039,49294,21005,14.47755609,35.45609061
2022/2/13,20897,13.98734029,17440,3457,12.32457473,22.37572076
2022/2/14,35732,12.51666993,31991,3741,11.32427975,22.71334313
2022/2/15,41940,11.98059172,37419,4521,11.11279787,19.16306864
2022/2/16,55072,12.84157981,47924,7148,11.76083695,20.0874557
2022/2/17,69223,15.69165788,57177,12046,14.12383738,23.1334039
2022/2/18,48407,14.32748294,40847,7560,13.13122098,20.79093695
2022/2/19,33400,15.50442665,27058,6342,12.34504213,28.98386944
2022/2/20,31959,15.62362871,25447,6512,13.10353414,25.47142455
2022/2/21,53863,16.77072604,41262,12601,13.33017062,28.03683173
2022/2/22,37452,14.87194275,32301,5151,13.06663158,26.19272633
2022/2/23,68175,15.72541621,55353,12822,13.51929284,25.24932408
2022/2/24,46001,13.41664384,40216,5785,12.3381204,20.91429271
2022/2/25,31350,13.98398884,27139,4211,12.64992016,22.58177788
2022/2/26,42732,15.09754517,33535,9197,12.20082153,25.65986191
2022/2/27,44121,16.6436999,34169,9952,13.60632688,27.07215635
2022/2/28,46930,14.29918176,41094,5836,12.27487752,28.5532528
2022/3/1,57432,13.19945878,49860,7572,12.22464099,19.61842534
2022/3/2,68718,13.99627633,58003,10715,12.52497055,21.96082594
2022/3/3,56795,13.25384042,48966,7829,12.16150322,20.0857964
2022/3/4,51059,12.80888515,43073,7986,11.59527895,19.35454754
2022/3/5,52695,17.31377518,40198,12497,13.92045997,28.22875357
2022/3/6,55948,18.62670426,40308,15640,14.03780226,30.45339621
2022/3/7,69568,15.31660725,56438,13130,12.92744811,25.58617035
2022/3/8,63778,13.93370781,54322,9456,12.47130905,22.33476805
2022/3/9,28822,12.62491904,25647,3175,11.76991851,19.53143832
2022/3/10,67868,13.96279002,57139,10729,12.29580088,22.84060646
2022/3/11,71017,16.28371634,56409,14608,13.68609471,26.31446924
2022/3/12,20336,16.70408471,16717,3619,13.34289944,32.23017869
2022/3/13,31815,16.12412332,25943,5872,12.84556207,30.60908833
2022/3/14,64895,15.73113979,52825,12070,12.63161413,29.29637945
2022/3/15,80950,16.52943854,64395,16555,13.96073479,26.52108326
2022/3/16,83460,16.54448578,65970,17490,13.28992193,28.82027635
2022/3/17,51187,13.85642611,42490,8697,11.58058916,24.97523859
2022/3/18,95284,20.04507682,68398,26886,14.97565475,32.9416896
2022/3/19,79685,20.92863776,52853,26832,15.21600792,32.18123261
2022/3/20,67065,19.17805338,46537,20528,14.58904205,29.58134743
2022/3/21,74997,16.46024197,59335,15662,13.83821662,26.39370344
2022/3/22,77201,15.31225761,62649,14552,13.24071972,24.23060404
2022/3/23,62383,13.88537716,52520,9863,12.07729278,23.51333942
2022/3/24,46992,12.37751107,40265,6727,11.35798419,18.47997126
2022/3/25,76966,16.02283844,59342,17624,12.56346067,27.67095438
2022/3/26,63708,17.32794338,45350,18358,13.33187027,27.19949341
2022/3/27,46883,16.97634501,35449,11434,13.29320291,28.39524518
2022/3/28,39187,12.86569483,34703,4484,11.81590448,20.99033229
2022/3/29,49720,12.28822204,43684,6036,11.32920787,19.22884084
2022/3/30,62747,12.96617687,53792,8955,11.96348435,18.98927415
2022/3/31,74283,14.42489242,60583,13700,12.15038102,24.48304745
2022/4/1,70244,14.71328109,55827,14417,12.13646623,24.69149037
2022/4/2,74958,19.58678282,51266,23692,14.01920701,31.6341972
2022/4/3,38074,15.40986631,29421,8653,12.32274566,25.90636196
2022/4/4,70671,14.27937839,57769,12902,12.10559729,24.01253294
2022/4/5,74265,13.94465046,61938,12327,12.04094982,23.509947
2022/4/6,49773,13.88365747,41993,7780,11.47138214,26.90405313
2022/4/7,36284,12.27775558,31773,4511,11.05822921,20.86742777
2022/4/8,90641,17.89185633,68637,22004,14.24151867,29.27834182
2022/4/9,69105,18.29328799,49079,20026,13.17610655,30.83429209
2022/4/10,58595,17.0067611,42774,15821,12.87118265,28.18780102
2022/4/11,77371,15.38972203,61868,15503,12.86963966,25.44664366
2022/4/12,95735,18.67199857,69875,25860,14.90893047,28.83999484
2022/4/13,100803,17.65810095,76319,24484,14.71624803,26.82814151
2022/4/14,92849,17.52829415,69428,23421,13.75384883,28.71706446
2022/4/15,102100,19.70071776,68830,33270,14.99840767,29.4290016
2022/4/16,84084,20.87744716,52247,31837,14.9449289,30.6131723
2022/4/17,55577,18.79063402,37782,17795,13.43756815,30.15615997
2022/4/18,57235,14.17700766,46121,11114,11.75608219,24.22339092
2022/4/19,60480,14.14834739,50255,10225,12.74095049,21.06558272
2022/4/20,87636,16.26976946,67013,20623,12.73885316,27.74323571
2022/4/21,79750,15.15867398,62621,17129,12.28668844,25.65821317
2022/4/22,100005,18.17986801,70882,29123,14.05980197,28.20763028
2022/4/23,96936,20.88945421,60658,36278,15.17066174,30.45146186
2022/4/24,85463,20.41381143,55149,30314,15.51172823,29.33196763
2022/4/25,74762,14.91172209,60468,14294,12.94538985,23.22990999
2022/4/26,76986,14.005908,63360,13626,12.56045744,20.72715764
2022/4/27,84742,14.58116066,69165,15577,12.58098508,23.46234084
2022/4/28,80806,14.20961583,65299,15507,12.37454147,21.93699834
2022/4/29,89424,16.4748714,67471,21953,13.62803328,25.22442794
2022/4/30,104259,20.36999348,65470,38789,15.15898249,29.16539655
2022/5/1,97344,23.06375705,60108,37236,16.36021522,33.88491111
2022/5/2,56229,14.11876019,45241,10988,11.88111337,23.33184535
2022/5/3,95263,15.74382814,75134,20129,12.87811932,26.44044331
2022/5/4,81915,14.8007581,65458,16457,12.29623041,24.76256
2022/5/5,113394,16.32215667,86124,27270,13.48922639,25.26910524
2022/5/6,36211,13.17803844,30279,5932,11.35114601,22.50313554
2022/5/7,21271,13.61717205,17883,3388,11.35814461,25.54107635
2022/5/8,65005,16.23002666,48740,16265,12.83580393,26.40121734
2022/5/9,96836,15.57860334,77429,19407,12.9262815,26.16069374
2022/5/10,107649,15.3206986,86383,21266,13.31874096,23.45269836
2022/5/11,110056,16.1070031,89347,20709,13.7994042,26.06291789
2022/5/12,113665,16.18527456,91554,22111,13.97163514,25.35118945
2022/5/13,98440,16.33053704,78250,20190,13.50013866,27.30025838
2022/5/14,81802,19.39755039,59388,22414,14.93546901,31.22025445
2022/5/15,111373,22.14311578,76392,34981,17.18208735,32.97707946
2022/5/16,81406,16.37986205,67232,14174,13.84594439,28.39907695
2022/5/17,120376,17.49915958,96842,23534,15.0882933,27.4198323
2022/5/18,120400,17.34500028,97245,23155,14.92868185,27.49291154
2022/5/19,92433,16.54403442,75724,16709,14.28977933,26.7601582
2022/5/20,87405,17.72445379,70085,17320,14.38919883,31.2204898
2022/5/21,118165,23.01881423,81131,37034,17.79297186,34.46715406
2022/5/22,106060,23.02718587,73394,32666,18.22515306,33.81639778
2022/5/23,103820,18.55941662,83143,20677,15.6187402,30.38398784
